                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.00652,                  1.193,                0.92868,                0.98213,                0.99157,                0.98642,                0.77066,                0.00542,                0.47881,                0.84616,               0.070021,               0.003331,               0.003331
                      1,                0.00568,                0.62344,                0.89133,                0.98323,                 0.9937,                0.98678,                   0.74,                0.00619,                0.46469,                 0.8836,               0.040003,              0.0066466,              0.0066466
                      2,                0.00592,                0.63857,                0.89743,                0.97514,                0.98537,                0.97505,                0.67562,                0.00778,                0.58186,                0.93926,              0.0099673,              0.0099444,              0.0099444
                      3,                0.00607,                0.62352,                0.90079,                0.97863,                 0.9916,                0.98903,                0.72351,                0.00659,                0.48798,                0.89556,                0.00992,                0.00992,                0.00992
                      4,                0.00604,                0.59166,                0.89851,                0.95918,                0.98782,                0.98052,                 0.6294,                0.00819,                 0.5483,                0.95047,                0.00992,                0.00992,                0.00992
                      5,                 0.0058,                0.56569,                0.88731,                0.97117,                0.98345,                0.98113,                0.64555,                0.00818,                0.55029,                0.95724,              0.0098933,              0.0098933,              0.0098933
                      6,                0.00578,                0.53812,                0.88798,                0.97445,                0.98686,                0.98314,                0.70372,                0.00721,                0.52589,                0.90723,              0.0098667,              0.0098667,              0.0098667
                      7,                0.00568,                0.53397,                0.88145,                0.98249,                0.99074,                0.98746,                0.72324,                0.00666,                0.45568,                0.90856,                0.00984,                0.00984,                0.00984
                      8,                0.00564,                0.51313,                 0.8799,                0.97836,                0.98836,                0.98449,                0.70741,                0.00681,                0.46964,                0.90802,              0.0098133,              0.0098133,              0.0098133
                      9,                0.00561,                0.51128,                0.88215,                0.98429,                 0.9904,                 0.9882,                0.68143,                0.00715,                0.47595,                0.92141,              0.0097867,              0.0097867,              0.0097867
                     10,                0.00559,                0.50004,                0.88102,                0.97922,                0.98624,                0.98155,                0.64762,                0.00853,                0.53211,                0.96945,                0.00976,                0.00976,                0.00976
                     11,                0.00554,                0.49458,                0.87587,                0.97383,                0.98121,                0.97789,                0.58068,                0.00948,                0.57409,                 1.0293,              0.0097333,              0.0097333,              0.0097333
                     12,                0.00552,                0.50449,                0.87688,                0.98289,                0.99153,                0.98902,                0.67154,                0.00793,                0.47119,                0.95051,              0.0097067,              0.0097067,              0.0097067
                     13,                0.00549,                0.47952,                0.87976,                0.98545,                0.99098,                0.98994,                0.72786,                0.00671,                0.44019,                0.90173,                0.00968,                0.00968,                0.00968
                     14,                0.00545,                0.47321,                0.87448,                0.98376,                0.99034,                0.98877,                0.72714,                0.00661,                0.42931,                0.90464,              0.0096533,              0.0096533,              0.0096533
                     15,                0.00539,                0.47733,                0.87473,                0.97615,                0.98906,                0.98504,                0.70855,                0.00694,                0.43791,                0.91694,              0.0096267,              0.0096267,              0.0096267
                     16,                0.00539,                 0.4675,                0.87354,                0.98616,                0.99032,                 0.9896,                0.73864,                0.00632,                0.40518,                0.88603,                 0.0096,                 0.0096,                 0.0096
                     17,                0.00533,                0.47066,                0.87037,                0.97995,                0.99226,                0.98774,                0.71442,                0.00706,                 0.4362,                0.90608,              0.0095733,              0.0095733,              0.0095733
                     18,                0.00533,                0.46048,                 0.8711,                0.98604,                0.98797,                 0.9893,                0.72882,                0.00671,                0.42817,                0.91326,              0.0095467,              0.0095467,              0.0095467
                     19,                0.00533,                0.45649,                0.87336,                0.97922,                0.98564,                0.98634,                0.70749,                0.00706,                0.45632,                0.92079,                0.00952,                0.00952,                0.00952
